grupo,codigo,materia,semestre,cupo,inscritos,disponibles
7CX1,C701,"TRABAJO TERMINAL I",7,255,0,255
8CX1,C801,"TRABAJO TERMINAL II",8,255,0,255
7CX2,C701,"TRABAJO TERMINAL I",7,100,0,100
8CX2,C804,"ESTANCIA PROFESIONAL",8,255,177,78
8CX2,C801,"TRABAJO TERMINAL II",8,50,0,50
4CM5,C404,"DISEÑO DE SISTEMAS DIGITALES",4,36,0,36
4CM5,C407,"SISTEMAS OPERATIVOS",4,36,0,36
4CV1,C403,"MATEMATICAS AVANZADAS PARA LA INGENIERIA",4,36,2,34
8CM5,C803,"GESTION EMPRESARIAL",8,36,2,34
8CM5,C805,"DESARROLLO DE HABILIDADES SOCIALES PARA LA ALTA DIRECCION",8,36,2,34
4CM2,C401,"TEORIA DE LA COMPUTACION",4,36,4,32
3CV3,C301,"ANALISIS Y DISEÑO DE ALGORITMOS",3,36,5,31
4CV5,C402,"PROBABILIDAD Y ESTADISTICA",4,36,7,29
6CX1,C612,"ALGORITMOS BIOINSPIRADOS|GENETIC ALGORITHMS",6,30,1,29
7CV3,C711,"ALGORITMOS BIOINSPIRADOS|BIOINFORMATICS",7,36,7,29
1CM8,C102,"MATEMATICAS DISCRETAS",1,36,8,28
5CM3,C504,"INSTRUMENTACION Y CONTROL",5,36,8,28
6CX1,C611,"PROC. DE LENG. NAT|MACHINE LEARNING",6,30,2,28
2CV3,C204,"MECANICA Y ELECTROMAGNETISMO",2,36,9,27
6CM2,C618,"INGENIERIA DE SOFTWARE",6,36,9,27
7CM5,C717,"DESARROLLO DE APLICACIONES MOVILES NATIVAS",7,36,9,27
2CV2,C203,"CALCULO APLICADO",2,36,10,26
6CX1,C604,"BIG DATA|NON-RELATIONAL DATABASES",6,30,4,26
6CX1,C617,"TOPICOS SEL. DE COM|COMPUTIG SELECTED TOPICS I",6,30,4,26
3CV1,C304,"FUNDAMENTOS DE DISEÑO DIGITAL",3,36,11,25
3CV2,C303,"ECUACIONES DIFERENCIALES",3,36,11,25
5CM3,C507,"REDES DE COMPUTADORAS",5,36,11,25
5CV1,C501,"COMPILADORES",5,36,11,25
5CV2,C506,"FORMULACION Y EVALUACION DE PROYECTOS INFORMATICOS",5,36,11,25
7CM6,C708,"GOBIERNO DE TI|IT GOVERNANCE",7,36,11,25
4CM1,C401,"TEORIA DE LA COMPUTACION",4,36,13,23
4CM2,C406,"TECNOLOGIAS PARA DESARROLLO DE APLICACIONES WEB",4,36,14,22
4CV4,C403,"MATEMATICAS AVANZADAS PARA LA INGENIERIA",4,36,14,22
6CV4,C619,"APLICACIONES PARA COMUNICACIONES EN RED",6,36,14,22
6CX1,C609,"GOBIERNO DE TI|COMPUTER SECURITY",6,30,8,22
4CM3,C403,"MATEMATICAS AVANZADAS PARA LA INGENIERIA",4,36,15,21
4CV3,C405,"ELECTRONICA ANALOGICA",4,36,15,21
3CM2,C303,"ECUACIONES DIFERENCIALES",3,36,16,20
7CM3,C702,"SISTEMAS DISTRIBUIDOS",7,36,16,20
1CV2,C103,"CALCULO",1,36,17,19
2CV3,C201,"ALGORITMOS Y ESTRUCTURA DE DATOS",2,36,17,19
3CM1,C306,"BASES DE DATOS",3,36,17,19
3CV5,C307,"FINANZAS EMPRESARIALES",3,36,17,19
